id,timestamp,length,recieved,completed
R248:36393.499343,0.013741,36394.140823,36394.133102,36394.146844
R249:36393.653856,0.046673,36394.140823,36394.146859,36394.193533
R250:36393.666089,0.075063,36394.255740,36394.193549,36394.268613
R251:36393.792235,0.014140,36394.255740,36394.268637,36394.282778
R252:36393.959764,0.081627,36394.361752,36394.282793,36394.364421
R253:36393.995620,0.052849,36394.361752,36394.364438,36394.417288
R254:36394.140777,0.179693,36394.561701,36394.417310,36394.597004
R255:36394.236735,0.174100,36394.758419,36394.597028,36394.771129
R256:36394.255718,0.180623,36394.758419,36394.771159,36394.951784
R257:36394.312999,0.053615,36394.954629,36394.951810,36395.005426
R258:36394.361729,0.107178,36395.102777,36395.005445,36395.112624
R259:36394.561673,0.060175,36395.102777,36395.112651,36395.172827
R260:36394.681889,0.357345,36395.462647,36395.172847,36395.530193
R261:36394.758384,0.026158,36395.462647,36395.530215,36395.556373
R262:36394.954590,0.059303,36395.610068,36395.556389,36395.615693
R263:36395.102748,0.094953,36395.648076,36395.615739,36395.710694
R264:36395.175302,0.105620,36395.768262,36395.710714,36395.816335
R265:36395.282000,0.061820,36395.830076,36395.816355,36395.878176
R266:36395.303795,0.012178,36395.830076,36395.878198,36395.890376
R267:36395.349234,0.133541,36395.916301,36395.890393,36396.023935
R268:36395.462615,0.072792,36396.052538,36396.023957,36396.096750
R269:36395.610040,0.063113,36396.103566,36396.096768,36396.159883
R270:36395.648050,0.069156,36396.223862,36396.159899,36396.229055
R271:36395.712965,0.010705,36396.223862,36396.229076,36396.239782
R272:36395.768227,0.002235,36396.223862,36396.239797,36396.242032
R273:36395.830041,0.048675,36396.223862,36396.242046,36396.290721
R274:36395.916272,0.048247,36396.329046,36396.290736,36396.338983
R275:36396.043962,0.044865,36396.329046,36396.339000,36396.383866
R276:36396.052516,0.003314,36396.329046,36396.383880,36396.387195
R277:36396.103533,0.032372,36396.389966,36396.387209,36396.419582
R278:36396.223827,0.040114,36396.452407,36396.419597,36396.459712
R279:36396.296355,0.035524,36396.452407,36396.459727,36396.495252
R280:36396.307476,0.034811,36396.503112,36396.495266,36396.530078
R281:36396.327756,0.084295,36396.594250,36396.530092,36396.614387
R282:36396.329028,0.111758,36396.665333,36396.614408,36396.726166
R283:36396.389945,0.039462,36396.761022,36396.726191,36396.765654
R284:36396.452382,0.355456,36397.020176,36396.765672,36397.121129
R285:36396.498746,0.005144,36397.020176,36397.121156,36397.126301
R286:36396.503083,0.060634,36397.184025,36397.126315,36397.186950
R287:36396.576224,0.016546,36397.184025,36397.186965,36397.203512
R288:36396.594227,0.171375,36397.230705,36397.203527,36397.374903
R289:36396.665306,0.041432,36397.230705,36397.374924,36397.416356
R290:36396.760981,0.126736,36397.444440,36397.416372,36397.543108
R291:36396.802235,0.198279,36397.721288,36397.543131,36397.741410
